,zi,pianmu,nianji,ci,jisici,jisici_zuci,spare 1,spare 2,spare 3,spare 4,spare 5,spare 6,spare 7,spare 8,spare 9,spare 10,spare 11,spare 12,spare 13,spare 14,spare 15,spare 16,spare 17,spare 18,spare 19,spare 20
185,,21,3,"""合奏"", ""奏乐"", ""伴奏"", ""上奏"", ""启奏""",,"""奉献"", ""泰山""",,,,,,,,,,,,,,,,,,,,
186,,21,3,"""手风琴"", ""口琴"", ""弹琴"", ""琴瑟在御""",,"""琵琶"", ""萧瑟""",,,,,,,,,,,,,,,,,,,,
187,,21,3,"""感受"", ""感到"", ""感动"", ""感人肺腑""",,"""减轻"", ""疑惑""",,,,,,,,,,,,,,,,,,,,
188,,21,3,"""感受"", ""接受"", ""忍受"", ""受罪"", ""受害""",,"""爱心"", ""教授""",,,,,,,,,,,,,,,,,,,,
189,,21,3,"""激动"", ""感激"", ""慷慨激昂"", ""激烈""",,"""清澈"", ""收缴""",,,,,,,,,,,,,,,,,,,,
190,,21,3,"""打击"", ""撞击"", ""击败"", ""无懈可击""",,"""出力"", ""吉祥""",,,,,,,,,,,,,,,,,,,,
191,,21,3,"""乐器"", ""瓷器"", ""成器"", ""大器晚成""",,"""哭声"", ""嚣张""",,,,,,,,,,,,,,,,,,,,
192,,21,3,"""雨滴"", ""汗滴"", ""水滴"", ""一滴血""",,"""摘花"", ""滴答""",,,,,,,,,,,,,,,,,,,,
193,,21,3,"""敲敲打打"", ""敲门"", ""敲诈"", ""敲竹杠""",,"""稿子"", ""搞笑""",,,,,,,,,,,,,,,,,,,,
194,,21,3,"""虫鸣"", ""鸣叫"", ""鸣谢"", ""百家争鸣""",,"""飞鸟"", ""呜咽""",,,,,,,,,,,,,,,,,,,,
195,,21,3,"""告诉"", ""诉苦"", ""如泣如诉"", ""起诉""",,"""拆信"", ""斥责""",,,,,,,,,,,,,,,,,,,,
196,,22,3,"""读书"", ""读者"", ""朗读"", ""默读"", ""走读""",,"""持续"", ""渎职""",,,,,,,,,,,,,,,,,,,,
197,,22,3,"""麻雀"", ""麻醉"", ""麻木不仁"", ""麻痹""",,"""床位"", ""庆祝""",,,,,,,,,,,,,,,,,,,,
198,,22,3,"""勇气"", ""勇敢"", ""勇猛"", ""有勇有谋""",,"""涌泉"", ""男孩""",,,,,,,,,,,,,,,,,,,,
199,,22,3,"""蚂蚁""",,"""数码"", ""玛瑙""",,,,,,,,,,,,,,,,,,,,
200,,22,3,"""蚂蚁"", ""蚁穴"", ""白蚁"", ""群蚁溃堤""",,"""议论"", ""仪式""",,,,,,,,,,,,,,,,,,,,
201,,22,3,"""长短"", ""短缺"", ""短处"", ""取长补短""",,"""矮小"", ""高矮""",,,,,,,,,,,,,,,,,,,,
202,,22,3,"""栽树"", ""栽花"", ""栽跟头"", ""桃栽""",,"""载重"", ""裁剪""",todo：桃栽是什么？,,,,,,,,,,,,,,,,,,,
203,,22,3,"""梨树"", ""鸭梨"", ""梨花"", ""梨花带雨""",,"""犁地"", ""柴火""",,,,,,,,,,,,,,,,,,,,
204,,22,3,"""尺寸"", ""分寸"", ""一寸"", ""寸土寸金""",,"""才华"", ""付出""",,,,,,,,,,,,,,,,,,,,
205,,22,3,"""温柔"", ""刚柔并济"", ""柔软"", ""柔嫩""",,"""揉腿"", ""集合""",,,,,,,,,,,,,,,,,,,,
206,,22,3,"""一摇一晃"", ""动摇"", ""摇晃"", ""摇头摆尾""",,"""歌谣"", ""瑶池""",,,,,,,,,,,,,,,,,,,,
207,,22,3,"""画册"", ""名册"", ""纪念册"", ""一册书""",,"""删除"", ""栅栏""",,,,,,,,,,,,,,,,,,,,
208,,23,3,"""朝前"", ""朝见"", ""朝拜"", ""改朝换代""",,"""潮湿"", ""嘲笑""",,,,,,,,,,,,,,,,,,,,
209,,23,3,"""雾蒙蒙"", ""浓雾"", ""云雾"", ""云山雾罩""",,"""零钱"", ""雷雨""",,,,,,,,,,,,,,,,,,,,
210,,23,3,"""雾蒙蒙"", ""蒙蒙细雨"", ""启蒙"", ""蒙面""",,"""朦胧"", ""豪华""",,,,,,,,,,,,,,,,,,,,
211,,23,3,"""鼻子"", ""鼻梁"", ""鼻青脸肿"", ""门鼻儿""",,"""舅妈"", ""鼾声""",,,,,,,,,,,,,,,,,,,,
212,,23,3,"""总是"", ""总结"", ""总算"", ""总而言之""",,"""聪明"", ""怠慢""",,,,,,,,,,,,,,,,,,,,
213,,23,3,"""抖动"", ""颤抖"", ""发抖"", ""瑟瑟发抖""",,"""科学"", ""材料""",,,,,,,,,,,,,,,,,,,,
214,,23,3,"""露水"", ""露营"", ""露珠"", ""风餐露宿""",,"""大雾"", ""柿霜""",,,,,,,,,,,,,,,,,,,,
215,,23,3,"""湿气"", ""湿度"", ""潮湿"", ""湿淋淋""",,"""显示"", ""温暖""",,,,,,,,,,,,,,,,,,,,
216,,23,3,"""呼吸"", ""吸引"", ""吸收"", ""吸纳"", ""吸取""",,"""等级"", ""汲取""",,,,,,,,,,,,,,,,,,,,
217,,23,3,"""猎人"", ""打猎"", ""猎取"", ""猎犬"", ""猎奇""",,"""借书"", ""可惜""",,,,,,,,,,,,,,,,,,,,
218,,23,3,"""翅膀"", ""双翅"", ""展翅"", ""插翅难逃""",,"""翘起"", ""羽毛""",,,,,,,,,,,,,,,,,,,,
219,,23,3,"""翅膀"", ""肩膀"", ""膀子"", ""膀大腰圆""",,"""榜样"", ""滂沱""",,,,,,,,,,,,,,,,,,,,
220,,23,3,"""沉重"", ""举重"", ""重量"", ""体重"", ""重病""",,"""童年"", ""质量""",,,,,,,,,,,,,,,,,,,,
221,,24,3,"""司马"", ""司法"", ""司机"", ""各司其职""",,"""词语"", ""合同""",,,,,,,,,,,,,,,,,,,,
222,,24,3,"""庭院"", ""家庭"", ""大庭广众"", ""法庭""",,"""宫廷"", ""挺立""",,,,,,,,,,,,,,,,,,,,
223,,24,3,"""登山"", ""攀登"", ""登记"", ""五谷丰登""",,"""凳子"", ""澄清""",,,,,,,,,,,,,,,,,,,,
224,,24,3,"""跌跤"", ""跌倒"", ""跌跌撞撞"", ""下跌""",,"""跳跃"", ""秩序""",,,,,,,,,,,,,,,,,,,,
225,,24,3,"""群众"", ""大众"", ""众人"", ""众志成城""",,"""从前"", ""言听计从""",,,,,,,,,,,,,,,,,,,,
226,,24,3,"""放弃"", ""抛弃"", ""丢弃"", ""弃暗投明""",,"""奇异"", ""充实""",,,,,,,,,,,,,,,,,,,,
227,,24,3,"""持笔"", ""坚持"", ""持之以恒"", ""操持""",,"""特殊"", ""等待""",,,,,,,,,,,,,,,,,,,,
228,,25,3,"""郊区"", ""郊外"", ""郊游"", ""荒郊野岭""",,"""仿效"", ""饺子""",,,,,,,,,,,,,,,,,,,,
229,,25,3,"""养病"", ""修养"", ""养育"", ""颐养天年""",,"""差劲"", ""卷尺""",,,,,,,,,,,,,,,,,,,,
230,,25,3,"""粉红色"", ""粉笔"", ""粉碎"", ""粉身碎骨""",,"""年份"", ""扮演""",,,,,,,,,,,,,,,,,,,,
231,,25,3,"""谷粒"", ""谷物"", ""五谷丰登"", ""峡谷""",,"""古代"", ""容易""",,,,,,,,,,,,,,,,,,,,
232,,25,3,"""谷粒"", ""米粒"", ""沙粒"", ""一粒米""",,"""哭泣"", ""立正""",,,,,,,,,,,,,,,,,,,,
233,,25,3,"""男孩"", ""男生"", ""男女老少"", ""长男""",,"""世界"", ""另外""",,,,,,,,,,,,,,,,,,,,
234,,25,3,"""或者"", ""或多或少"", ""或许""",,"""成功"", ""迷惑""",,,,,,,,,,,,,,,,,,,,
235,,25,3,"""或者"", ""读者"", ""作者"", ""老者"", ""患者""",,"""诸位"", ""著名""",,,,,,,,,,,,,,,,,,,,
236,,25,3,"""冻死"", ""防冻"", ""冷冻"", ""天寒地冻""",,"""栋梁"", ""东西""",,,,,,,,,,,,,,,,,,,,
237,,25,3,"""寒冷"", ""冷落"", ""冷淡"", ""冷若冰霜""",,"""泠风"", ""伶俐""",todo：泠风是什么？,,,,,,,,,,,,,,,,,,,
238,,25,3,"""可惜"", ""惋惜"", ""珍惜"", ""依依惜别""",,"""差错"", ""借助""",,,,,,,,,,,,,,,,,,,,
239,,25,3,"""不肯"", ""肯定"", ""首肯"", ""中肯""",,"""啃骨头"", ""后背""",,,,,,,,,,,,,,,,,,,,
240,,25,3,"""诚实"", ""诚恳"", ""诚心诚意"", ""诚然""",,"""城墙"", ""成功""",,,,,,,,,,,,,,,,,,,,
241,,26,3,"""造纸术"", ""美术"", ""武术"", ""防御之术""",,"""木头"", ""本来""",,,,,,,,,,,,,,,,,,,,
242,,26,3,"""争奇斗艳"", ""战斗"", ""斗智"", ""斗智""",,"""抖动"", ""头脑""",todo：斗志？,,,,,,,,,,,,,,,,,,,
243,,26,3,"""刚才"", ""刚走"", ""刚刚"", ""外柔内刚""",,"""钢铁"", ""山冈""",,,,,,,,,,,,,,,,,,,,
244,,26,3,"""热烈"", ""激烈"", ""壮烈"", ""轰轰烈烈""",,"""裂纹"", ""列车""",,,,,,,,,,,,,,,,,,,,
245,,26,3,"""离去"", ""离开"", ""离别"", ""骨肉分离""",,"""禽兽"", ""篱笆""",,,,,,,,,,,,,,,,,,,,
246,,26,3,"""血液"", ""鲜血"", ""血浆"", ""鲜血淋淋""",,"""器皿"", ""山丘""",,,,,,,,,,,,,,,,,,,,
247,,26,3,"""仍然"", ""仍旧"", ""频仍"", ""一仍其旧""",,"""扔掉"", ""奶奶""",,,,,,,,,,,,,,,,,,,,
248,,26,3,"""取衣服"", ""录取"", ""取笑"", ""取长补短""",,"""勇敢"", ""职业""",,,,,,,,,,,,,,,,,,,,
249,,26,3,"""匆匆"", ""匆忙"", ""匆促"", ""来去匆匆""",,"""勿扰"", ""勿忘我""",,,,,,,,,,,,,,,,,,,,
250,,26,3,"""危险"", ""险境"", ""遇险"", ""化险为夷""",,"""捡起"", ""检查""",,,,,,,,,,,,,,,,,,,,
